一 一壹
婆 婆
婉 婉
婚 婚
婢 婢
婦 妇
婪 婪
婬 淫
婿 婿
媒 媒
媚 媚
媛 媛
媼 媪
媽 妈
媾 媾
嫁 嫁
嫂 嫂
嫉 嫉
嫌 嫌
嫐 喃嬲
嫖 嫖
嫗 妪
嫡 嫡
嫣 嫣
嫦 嫦
嫩 嫩
嫺 娴
嫻 娴
嬉 嬉
嬋 婵
嬌 娇挢
嬖 嬖
嬢 娘
嬪 嫔
嬰 婴
嬲 嬲恼
嬾 懒
孀 孀霜
孃 娘
子 子只
孑 孑
孔 孔
孕 孕
字 字
存 存
孚 孚孵
孛 孛柏
孜 孜
孝 孝
孟 孟
季 季
孤 孤
孥 孥
学 学
孩 孩
孫 孙
孰 孰塾
孱 孱
孳 孳
孵 孵孚
學 学
孺 孺
宀 宀
它 它佗
宅 宅
宇 宇
守 守
安 安
宋 宋
完 完烟
宍 肉
宏 宏
宕 宕
宗 宗
官 官
宙 宙
定 定
宛 宛
宜 宜
宝 宝
実 实
客 客
宣 宣
室 室
宥 宥
宦 宦
宮 宫
宰 宰
害 害
宴 宴
宵 宵
家 家
宸 宸
容 容
宿 宿
寂 寂
寃 冤
寄 寄
寅 寅
密 密
寇 寇
富 富
寐 寐
寒 寒
寓 寓
寔 实
寛 宽
寝 寝
寞 寞
察 察
寡 寡关
寢 寝
寤 寤
寥 寥
實 实
寧 宁甯
寨 寨砦
審 审
寫 写
寮 寮
寰 寰
寳 宝
寵 宠
寶 宝
寸 寸
寺 寺
対 对
寿 寿
封 封
専 专
射 射
尅 克
将 将
將 将
專 专
尉 尉熨
尊 尊
尋 寻
對 对
導 导
小 小
少 少
尓 尔
尖 尖
尚 尚
尠 鲜
尢 尢
尤 尤
尨 龙
尭 尧
就 就
尸 尸
尹 尹
尺 尺
尻 尻
尼 尼
尽 尽
尾 尾
尿 尿溺
局 局
屁 屁
居 居
屆 届
屈 屈
届 届
屋 屋
屍 尸
屎 屎
屏 屏摒
屐 屐
屑 屑
展 展
属 属
屠 屠
屡 屡
層 层
履 履
屬 属
屮 屮
屯 屯
山 山
屹 屹
岌 岌
岐 岐歧
岑 岑
岔 岔
岡 冈岗
岩 岩
岫 岫
岬 岬
岱 岱
岳 岳
岷 岷
岸 岸
峙 峙
峡 峡
峨 峨
峩 峨
峪 峪
峭 峭
峯 峰
峰 峰
島 岛
峺 硬
峻 峻
峽 峡
崇 崇
