一 一壹弌
存 存
孙 孫
孚 孚孵
孛 孛柏栢
孜 孜
孝 孝
孟 孟
季 季
孤 孤
孥 孥
学 學学斈
孩 孩
孰 塾孰
孱 孱
孳 孳
孵 孚孵
孺 孺
宀 宀
宁 寧
它 佗它
宅 宅
宇 宇
守 守
安 安
宋 宋
完 完煙烟
宏 宏
宕 宕
宗 宗
官 官
宙 宙
定 定
宛 宛
宜 宜
宝 寶宝寳
实 寔實実
宠 寵
审 審
客 客
宣 宣
室 室
宥 宥
宦 宦
宪 憲
宫 宮
宰 宰
害 害
宴 宴讌
宵 宵
家 家
宸 宸
容 容
宽 寛
宾 賓
宿 宿
寂 寂
寄 寄
寅 寅
密 密
寇 寇冦
富 富冨
寐 寐
寒 寒
寓 寓
寝 寢寝
寞 寞
察 察
寡 寡關
寤 寤
寥 寥
寨 寨砦
寮 寮
寰 寰
寸 寸吋
对 對対
寺 寺
寻 尋
导 導
寿 壽寿
封 封
射 射
将 疆將将
尉 尉熨
尊 尊
小 小
少 少
尔 爾尓
尖 先尖
尘 塵
尚 尚
尝 嘗甞
尢 尢
尤 尤
尧 堯尭
就 就
尸 尸屍
尹 尹
尺 尺呎
尻 尻
尼 尼
尽 儘盡尽侭
尾 尾
尿 尿溺
局 局跼
屁 屁
层 層
居 居
屈 屈
届 屆届
屋 屋
屎 屎
屏 屏
屐 屐
屑 屑
展 展
属 屬属
屠 屠
屡 屡
履 履
屮 屮
屯 屯
山 山
屹 屹
屿 嶼
岁 歳
岂 豈
岌 岌
岐 岐
岑 岑
岔 岔
岖 嶇
岗 岡崗堽
岚 嵐
岛 島嶋嶌
岩 岩巖巌嵒
岫 岫
岬 岬
岭 嶺
岱 岱
岳 岳嶽
岷 岷
岸 岸
峒 洞
峙 峙
峡 峽峡
峥 崢
峦 巒
峨 峨峩
峪 峪
峭 峭
峰 峰峯
峻 峻
崇 崇
崎 崎埼碕嵜
崔 崔
崖 崖崕
崛 崛
崧 嵩
崩 崩
崭 嶄巉
嵋 嵋
嵌 嵌篏
嵩 嵩
嵬 嵬
嵯 嵯嵳
嶂 嶂
嶝 嶝磴
嶷 嶷
巅 巓
巍 巍魏
巛 川巛
川 川巛
州 州
巡 巡
巢 巣
工 工
左 左
巧 巧
巨 巨鉅
巩 鞏
巫 巫
差 差
己 己
已 已
巳 巳
巴 巴笆芭
巷 巷
巽 巽
巾 巾
币 幣幤
市 市
布 布
帅 帥
帆 帆
师 師
希 希稀
帏 幃
帐 帳
帑 帑
帖 帖
帘 簾
帙 帙
帚 帚箒菷
帛 帛
帜 幟
帝 帝
带 帶帯
帧 幀
席 席蓆
帮 幇
帷 帷
常 常
帼 幗
帽 帽
幂 冪羃
幄 幄
幅 幅
幌 幌
幔 幔
幕 幕
幡 幡旛
幢 幢橦
干 乾干幹
平 平
年 年
并 并並併竝
幸 幸倖
幺 幼幺
幻 幻
幼 幼
幽 幽
广 廣广広
庄 庄莊荘
庆 慶広
庇 庇
床 床牀
序 序
庐 廬
庑 廡
库 庫
应 硬應応
底 底
庖 庖
店 店
庙 廟
庚 庚
府 府
庞 厖
废 廢廃
庠 庠
度 度廓
座 坐座
庭 庭
庵 庵菴
庶 庶
康 康
庸 庸
廉 廉
廊 廊
廓 度廓
廖 廖
廛 厘廛釐
廨 廨
廪 廩稟
廴 廴
延 延
廷 廷
建 建
廾 廾廿
廿 廾廿
开 幵開
弁 弁瓣辨辯辧
异 異
弃 棄弃
弄 弄瘧
弈 奕
弊 弊
弋 弋
式 式
弑 弑
弓 弓
引 引
弗 弗
弘 弘
弛 弛
弟 弟
张 張
弥 彌瀰弥
弦 弦絃
弧 弧
弩 弩
弭 弭
弯 彎弯
弱 弱
弹 彈弾
强 強彊
弼 弼
彐 彑
归 皈歸帰
当 當当
录 録
彖 彖
彗 彗
彝 彝彜
彡 彡
形 形
彦 彦
彩 彩綵
彪 彪
彬 彬斌
彭 彭
彰 彰
影 影翳
彳 彳
彷 彷倣髣
役 役
彻 徹
彼 彼
往 往徃
征 征徴
徂 徂
径 徑逕径
待 待
徇 徇殉
很 很
徊 徊
律 律
後 后後
徐 徐
徒 徒
徕 來徠来
得 得
徘 徘
徙 徙
御 御禦馭
徨 徨遑
循 循
徭 徭
微 微
徵 征徴
德 徳悳
徼 徼
徽 徽
心 心
忄 心
必 必
忆 憶
忌 忌
忍 忍
忏 懺懴
忖 忖
志 志誌
忘 忘
忙 忙
忝 忝
忠 忠
忤 忤
忧 憂
快 快
忱 忱
念 念唸
忸 忸
忻 忻欣
忽 忽
忾 愾
忿 忿
怀 懷懐
态 態
怂 慫
怃 憮
怄 嘔
怅 悵
怆 愴
怎 怎
怏 怏
怒 怒
怕 怕
怖 怖
怙 怙
怛 怛
怜 怜憐
思 思
怠 怠
怡 怡
急 急
怦 怦
性 性
怨 怨
怩 怩
怪 怪恠
怫 怫
怯 怯
总 總総
怿 懌
恁 恁
恂 恂悛
恃 恃
恋 戀恋
恍 恍
恐 恐
恒 恆恒
恕 恕
恙 恙
恚 恚
恢 恢
恣 恣
恤 恤
恨 恨
恩 恩
恪 恪
恫 恫
恬 恬
恭 恭
息 息
恰 恰
恳 懇
恶 惡悪
恸 慟
恻 惻
恼 嬲惱悩
恿 慂
悃 悃
悄 悄
悉 悉
悌 悌
悍 悍
悒 悒
悔 悔
悖 悖
悚 悚
悛 恂悛
悟 悟
悠 悠
患 患
悦 悦
悫 愨
悬 懸
悭 慳
悯 愍憫
悲 悲
悴 悴忰
悸 悸
悼 悼
情 情
惆 惆
惊 驚
惑 惑
惘 惘
惚 惚
惜 惜
惟 惟
惠 惠恵
惧 懼惧
惨 慘惨
惩 懲
惫 憊
惭 慚慙
惮 憚
惯 慣
惰 惰
想 想
惴 惴
惶 惶
惹 惹
惺 惺醒
愀 愀
愁 愁
愆 愆
愈 愈愉瘉癒
愉 愈愉
愍 愍憫
愎 愎
意 意
愕 愕
愚 愚
感 感
愠 慍
愤 憤
愧 愧
愿 愿願
慈 慈
慊 慊
慌 慌
慎 慎愼
慑 懾
慕 慕
慝 慝
慢 慢
慧 慧
慨 慨
慰 慰
慵 慵
慷 慷
憎 憎贈
憔 憔
憧 憧
憩 憩憇
憬 憬
憾 憾
懈 懈
懊 懊
懋 懋
懑 悶懣
懒 嬾懶
懔 懍凛
懦 懦
懿 懿
戈 戈
戊 戊
戋 戔
戌 戌
戍 戍
戎 戎
戏 戲戯
成 成
我 我
戒 戒
或 或
戗 創
战 戰戦
戚 戚
戛 戛戞
戟 戟
戡 戡
截 截
戮 戮
戳 戳
戴 戴
户 戸
戾 戻
房 房
所 所
扁 扁
扇 扇
扈 扈
扉 扉
手 手
扌 手
才 才纔財
